Nom de l'élu;Prénom de l'élu;Code sexe;Date de naissance;Code de la catégorie socio-professionnelle;Libellé de la catégorie socio-professionnelle;Date de début du mandat
ALLIONE;Grégory;M;25/07/1971;53;Policier et militaire;16/07/2024
ANDROUËT;Mathilde;F;03/07/1984;33;Cadre de la fonction publique;16/07/2024
AUBRY;Manon;F;22/12/1989;33;Cadre de la fonction publique;16/07/2024
BARDELLA;Jordan;M;13/09/1995;33;Cadre de la fonction publique;16/07/2024
BAY;Christophe;M;06/09/1962;33;Cadre de la fonction publique;28/09/2024
BAY;Nicolas;M;21/12/1977;33;Cadre de la fonction publique;16/07/2024
BELLAMY;François-Xavier;M;11/10/1985;34;Professeur, profession scientifique;16/07/2024
BOYER;Gilles;M;04/07/1971;33;Cadre de la fonction publique;16/07/2024
BRASIER-CLAIN;Marie-Luce;F;19/10/1959;75;Ancienne profession intermédiaire;16/07/2024
CAMARA;Mélissa;F;27/11/1991;43;Profession intermédiaire de la santé et du travail social;16/07/2024
CANFIN;Pascal;M;22/08/1974;33;Cadre de la fonction publique;16/07/2024
CAREME;Damien;M;16/11/1960;33;Cadre de la fonction publique;16/07/2024
CASTILLO;Laurent;M;12/03/1962;34;Professeur, profession scientifique;16/07/2024
CHAIBI;Leïla;F;05/10/1982;33;Cadre de la fonction publique;16/07/2024
CLERGEAU;Christophe;M;01/09/1968;33;Cadre de la fonction publique;16/07/2024
CORMAND;David;M;30/11/1974;33;Cadre de la fonction publique;16/07/2024
DAUCHY;Marie;F;05/02/1987;33;Cadre de la fonction publique;16/07/2024
DECERLE;Jérémy;M;01/07/1984;12;Agriculteur sur moyenne exploitation;12/10/2025
DELOGE;Valérie;F;09/05/1966;11;Agriculteur sur petite exploitation;16/07/2024
DEVAUX;Valérie;F;19/06/1964;34;Professeur, profession scientifique;16/07/2024
DISDIER;Mélanie;F;27/01/1974;22;Commerçant et assimilé;16/07/2024
FARRENG;Laurence;F;06/09/1966;33;Cadre de la fonction publique;16/07/2024
FITA;Claire;F;31/12/1976;33;Cadre de la fonction publique;16/07/2024
FOURREAU;Emma;F;01/10/1999;33;Cadre de la fonction publique;16/07/2024
FRIGOUT;Anne-Sophie;F;11/04/1991;34;Professeur, profession scientifique;16/07/2024
FURET;Angéline;F;24/07/1981;31;Profession libérale;16/07/2024
GARRAUD;Jean-Paul;M;27/02/1956;33;Cadre de la fonction publique;16/07/2024
GERMAIN;Jean-Marc;M;12/06/1966;33;Cadre de la fonction publique;16/07/2024
GLUCKSMANN;Raphaël;M;15/10/1979;35;Profession de l'information, des arts et des spectacles;16/07/2024
GOMART;Christophe;M;20/06/1960;37;Cadre administratif et commercial d'entreprise;16/07/2024
GOZI;Sandro;M;25/03/1968;33;Cadre de la fonction publique;16/07/2024
GRISET;Catherine;F;20/08/1972;33;Cadre de la fonction publique;16/07/2024
GRUDLER;Christophe;M;09/04/1965;33;Cadre de la fonction publique;16/07/2024
GUETTA;Bernard;M;28/01/1951;35;Profession de l'information, des arts et des spectacles;16/07/2024
HASSAN;Rima;F;28/04/1992;37;Cadre administratif et commercial d'entreprise;16/07/2024
HAYER;Valérie;F;06/04/1986;33;Cadre de la fonction publique;16/07/2024
IMART;Céline;F;24/08/1982;12;Agriculteur sur moyenne exploitation;16/07/2024
JAMET;France;F;05/02/1961;33;Cadre de la fonction publique;16/07/2024
JORON;Virginie;F;11/12/1973;38;Ingénieur et cadre technique d'entreprise;16/07/2024
